Landslide_,Camp_name,Latitude,Longitude,Elevation,Date_of_mo,General_sl,Slided_slo,Width (m),Length_pre,Length_aft,Depth (m),Material,Movement_t,State,Distributi,Style,field_18,field_19,field_20,field_21,field_22,field_23,field_24,field_25,field_26,field_27,field_28,field_29,field_30,field_31,accumulati,accumula_1,accumula_2,slope_clas,flow_direc,10yr_runof,20yr_runof,50yr_runof,fill_sinks,basins1
"1","20",21.195371000000002,92.137818999999993,13.000000000000000,"2020","40","60",19.000000000000000,24.000000000000000,19.000000000000000,13.000000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.337115721609570,6.419381066769810,6.523277689474792,2.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,22.000000000000000,161.000000000000000
"2","20",21.195408000000000,92.137880999999993,3.800000000000000,"2020","24","35",12.000000000000000,8.300000000000002,6.100000000000000,3.800000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.337115721609570,7.623501017172444,7.727397639588536,2.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,21.000000000000000,161.000000000000000
"3","20",21.195108999999999,92.138158000000004,3.500000000000000,"2020","22","30",10.000000000000000,10.000000000000000,8.000000000000000,3.500000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.419381066769810,6.523277689474792,2.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,25.000000000000000,161.000000000000000
"4","20",21.195077000000001,92.137940000000000,8.000000000000000,"2020","22","30",11.000000000000000,15.000000000000000,12.000000000000000,4.500000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,25.000000000000000,161.000000000000000
"5","20",21.191602000000000,92.137919999999994,6.000000000000000,"2019","30","40",18.000000000000000,16.000000000000000,13.000000000000000,6.000000000000000,Soil or Earth,Slide,Stabilized,Confined,Successive,,,,,,,,,,,,,,,6.513206959163058,6.595472304323296,6.699368937683080,1.000000000000000,3.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,23.000000000000000,161.000000000000000
"6","20",21.191094000000000,92.139632000000006,5.000000000000000,"2020","28","35",18.000000000000000,17.000000000000000,14.000000000000000,5.000000000000000,Soil or Earth,Slide,Stabilized,Confined,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,21.050035476684570,161.000000000000000
"7","20",21.187980000000000,92.137061000000003,1.000000000000000,"2020","28","60",19.500000000000000,5.600000000000000,2.000000000000000,1.000000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,1.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,26.000000000000000,161.000000000000000
"8","20",21.187687000000000,92.137114999999994,6.000000000000000,"2020","18","42",13.500000000000000,15.000000000000000,8.900000000000000,6.000000000000000,Soil or Earth,Slide,Active,Enlarging,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,1.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,27.000000000000000,161.000000000000000
"9","20",21.186969000000001,92.137313000000006,8.000000000000000,"2020","36","62",7.700000000000000,12.000000000000000,10.500000000000000,8.000000000000000,Soil or Earth,Slide,Active,Enlarging,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,6.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,23.000000000000000,161.000000000000000
"10","20",21.187228999999999,92.136546999999993,8.000000000000000,"2020","24","44",30.000000000000000,18.000000000000000,15.000000000000000,8.000000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.337115721609570,6.419381066769810,6.523277689474792,1.000000000000000,3.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,24.000000000000000,161.000000000000000
