Landslide_ID,Latitude,Longitude,Susceptibility_20yr,Risk_Level
1,21.195371,92.137819,0.3925129956033178,High
2,21.195408,92.137881,0.3613270515747295,High
3,21.195109,92.138158,0.37763820178115565,High
4,21.195077,92.13794,0.546091649558085,High
5,21.191602,92.13792,0.35780985905351115,High
6,21.191094,92.139632,0.4129762176385983,High
7,21.18798,92.137061,0.6909647799347484,High
8,21.187687,92.137115,0.7036701544822282,High
9,21.186969,92.137313,0.1907000754677292,High
10,21.187229,92.136547,0.43265708650661877,High
11,21.191466,92.141624,0.41111092221613416,High
12,21.191315,92.139878,0.40001897006084164,High
13,21.205852,92.141338,0.28748949328161577,High
14,21.204411,92.140678,0.33822650010136734,High
15,21.204197,92.141095,0.5102765538784372,High
16,21.20415,92.140843,0.5102765538784372,High
17,21.204701,92.142285,0.3053903563621753,High
18,21.207861,92.141436,0.3990741207707122,High
19,21.208291,92.134621,0.46338032018395126,High
20,21.20694,92.135062,0.30780618114642117,High
21,21.206937,92.134959,0.3053903563621753,High
22,21.206823,92.136154,0.2185581828218779,High
23,21.202571,92.135722,0.3173216904208701,High
24,21.204248,92.135753,0.36585052643633004,High
25,21.203535,92.136858,0.28283736752078414,High
27,21.201641,92.146061,0.31093113289270113,High
28,21.200225,92.14471,0.05633291537139874,Low
29,21.198921,92.143836,0.37617564006714627,High
30,21.197666,92.142812,0.3858976300851493,High
31,21.197759,92.13899,0.28544347998508074,High
32,21.197245,92.139289,0.1907000754677292,High
33,21.197594,92.138322,0.6217224513775182,High
34,21.193316,92.145555,0.29409072314918755,High
35,21.192213,92.14554,0.5267138229706201,High
36,21.191775,92.149041,0.40957609638143244,High
37,21.191907,92.149136,0.4893316251018284,High
38,21.191816,92.149505,0.3500794859867213,High
39,21.187977,92.147786,0.245252281435273,High
40,21.192159,92.149587,0.475720753242271,High
41,21.189326,92.147043,0.3535559813703256,High
42,21.189096,92.146231,0.2671279072176043,High
43,21.188944,92.147269,0.26967091041177743,High
44,21.185431,92.149369,0.25803755199454054,High
45,21.185112,92.148899,0.35620613224237657,High
46,21.187025,92.151168,0.25717919596251004,High
47,21.186603,92.150665,0.25867597397066644,High
48,21.188497,92.148852,0.26227369064316275,High
49,21.189551,92.150556,0.24703705617741528,High
50,21.181916,92.150142,0.4471740347426679,High
51,21.182394,92.149359,0.3085651691498354,High
52,21.18219,92.148931,0.2978500143438879,High
53,21.182502,92.150202,0.34616851795194564,High
54,21.18252,92.151834,0.47360466402928125,High
55,21.182394,92.152177,0.45328424600349143,High
56,21.184377,92.148323,0.3162783243641379,High
57,21.184489,92.149925,0.2448704048488004,High
58,21.184136,92.150783,0.3026605065407733,High
59,21.181609,92.147133,0.26275972363521527,High
60,21.182073,92.147172,0.369653977686016,High
61,21.186267,92.142888,0.2848908114914715,High
62,21.185877,92.143148,0.31774273316529306,High
63,21.185588,92.143183,0.32789259747258714,High
64,21.185436,92.140939,0.2902737419826828,High
65,21.181606,92.144052,0.3127594233108905,High
66,21.180329,92.140987,0.421799541588964,High
67,21.180252,92.139044,0.7036701544822282,High
68,21.180582,92.139328,0.46400818200654587,High
69,21.181057,92.139112,0.37654384235472305,High
70,21.179899,92.139481,0.6577284845793394,High
71,21.179551,92.141002,0.35888526922580577,High
72,21.179959,92.139346,0.64658952607196,High
73,21.180073,92.137928,0.456079888809961,High
74,21.179806,92.139079,0.7036701544822282,High
75,21.179759,92.138198,0.4158870925316332,High
76,21.192636,92.156608,0.4239510787219816,High
77,21.1925,92.157062,0.4958086598151265,High
78,21.192122,92.157098,0.4342262641633182,High
79,21.192624,92.157707,0.4911678520491821,High
80,21.192863,92.156355,0.4606050344613855,High
81,21.188969,92.153565,0.41552618838403016,High
82,21.188928,92.15589,0.4486601561923998,High
83,21.189414,92.154805,0.4124952129494614,High
84,21.189903,92.154987,0.4929065337701285,High
85,21.190152,92.155039,0.5460967915140751,High
86,21.187066,92.152565,0.2307599663632217,High
87,21.186741,92.153447,0.22550901868664722,High
88,21.187277,92.155118,0.26816820695152105,High
89,21.183062,92.158429,0.1551976570963788,Medium
90,21.183536,92.158118,0.23512683911954274,High
91,21.183505,92.156211,0.3297299800691232,High
92,21.183886,92.156026,0.2783465380885477,High
93,21.183685,92.155411,0.2786759524627621,High
94,21.183142,92.155124,0.3431443832666711,High
95,21.181876,92.154261,0.2713243905273709,High
96,21.181407,92.154358,0.33117804927347616,High
97,21.18163,92.156905,0.36074450101158195,High
98,21.204209,92.15084,0.2822771635808579,High
99,21.205119,92.150696,0.23729006893302443,High
100,21.205689,92.150533,0.15146430664085345,Medium
101,21.205267,92.151181,0.1273281339361789,Medium
102,21.205371,92.152756,0.14954251620633685,Medium
103,21.205484,92.153359,0.18197101358112916,Medium
104,21.199011,92.148385,0.3001959398326208,High
105,21.198138,92.148305,0.4477294197736607,High
106,21.194538,92.151599,0.14698993651903755,Medium
107,21.194354,92.151665,0.13676603192327566,Medium
108,21.194675,92.152502,0.1633381110200864,Medium
109,21.195246,92.153204,0.12288172726246879,Medium
110,21.196417,92.152976,0.1361911751662523,Medium
111,21.194414,92.151099,0.16190430490713054,Medium
112,21.195442,92.150112,0.38650166523627205,High
113,21.192208,92.151077,0.35676773517313576,High
114,21.192208,92.151077,0.35676773517313576,High
115,21.192943,92.150703,0.45623969931064423,High
116,21.195442,92.150112,0.38650166523627205,High
117,21.192943,92.150703,0.45623969931064423,High
118,21.193512,92.162416,0.4351078253647969,High
119,21.192761,92.162063,0.04387184318569178,Low
120,21.193661,92.161337,0.33146925674794425,High
121,21.194492,92.161192,0.09278806704670926,Low
122,21.195348,92.160793,0.069449153152154,Low
123,21.193158,92.161817,0.440742128012873,High
124,21.201355,92.163638,0.22812749871859878,Medium
125,21.201817,92.164553,0.22633976830095096,Medium
126,21.202045,92.159217,0.1325803592575952,Medium
127,21.207241,92.148942,0.2207180895569263,High
128,21.204435,92.158664,0.13829539524567405,Medium
129,21.205708,92.158642,0.21636268634522524,Medium
130,21.205794,92.158519,0.33727872212722015,High
131,21.205791,92.157496,0.18172673638439016,Medium
132,21.202149,92.156556,0.21571609725367316,High
133,21.205537,92.158806,0.2131726193617739,Medium
134,21.205842,92.16196,0.2386587977833415,High
135,21.206856,92.161132,0.16884811767085492,Medium
136,21.207509,92.162365,0.21167966857217124,Medium
137,21.205633,92.159085,0.1230540547243319,Medium
138,21.210141,92.166012,0.133311927494614,Medium
139,21.209284,92.153656,0.28078242775512985,High
140,21.210113,92.154306,0.2551086889951513,High
141,21.209492,92.153831,0.17609849813944925,Medium
142,21.208065,92.154185,0.22234784532099489,High
143,21.209594,92.158242,0.3095568707540148,High
144,21.207137,92.159944,0.18202738263776494,Medium
145,21.206541,92.158441,0.18044419421446864,Medium
146,21.206971,92.15693,0.1564777674622709,Medium
147,21.212742,92.156005,0.35906014460336916,High
148,21.211901,92.155645,0.21917936862490872,High
149,21.211478,92.155442,0.3308258162496345,High
150,21.211392,92.155212,0.2161326475441319,Medium
151,21.211016,92.152351,0.18088277929753194,Medium
152,21.205748,92.165605,0.13485303799746678,Medium
153,21.201837,92.165973,0.08202444872759442,Low
154,21.203998,92.156424,0.12727468491105884,Medium
155,21.2089,92.159811,0.12485257055758109,Medium
156,21.208877,92.154365,0.11519224415901261,Medium
157,21.204245,92.168862,0.05395211356822484,Low
158,21.200274,92.160839,0.01737734622364079,Low
159,21.206455,92.163259,0.11635992059138174,Medium
160,21.203632,92.16325,0.1472767523354655,Medium
161,21.207425,92.156995,0.12326462219592808,Medium
162,21.209581,92.161679,0.11689302324565241,Medium
163,21.205645,92.159684,0.14042993853919003,Medium
164,21.211872,92.168003,0.08718979605718342,Low
165,21.205293,92.155332,0.168934957209704,Medium
166,21.201001,92.157553,0.08859757972193381,Low
167,21.207989,92.16764,0.00788050742070825,Low
168,21.203446,92.158477,0.10930952594756095,Medium
169,21.207545,92.168041,0.029188305902419776,Low
170,21.200942,92.162662,0.10653331936161015,Low
171,21.202755,92.162228,0.14621071649280376,Medium
172,21.210593,92.157994,0.10547712070373842,Medium
173,21.210214,92.158985,0.1503414861374586,Medium
174,21.210444,92.157525,0.08278567808376404,Low
175,21.209999,92.15862,0.10644819311559493,Low
176,21.209818,92.156787,0.12108473768461989,Medium
177,21.209144,92.158012,0.05373480254541649,Low
178,21.208203,92.154513,0.13636156365165966,Medium
179,21.210809,92.154904,0.19715781176697553,Medium
180,21.210443,92.154626,0.1366838231215391,Medium
181,21.209555,92.153164,0.03864873518731712,Low
182,21.209555,92.15584,0.04467303978937053,Low
183,21.207866,92.15536,0.12332880704830292,Medium
184,21.20902,92.16377,0.11453802555890906,Medium
185,21.208135,92.163634,0.04111660982809306,Low
186,21.208888,92.162976,0.16886987140134005,Medium
187,21.208437,92.162496,0.11966197630742531,Medium
188,21.20886,92.161834,0.1600918309233597,Medium
189,21.209982,92.162374,0.1296828468736109,Medium
190,21.207062,92.159662,0.17777041669349247,Medium
191,21.208444,92.159247,0.14042993853919003,Medium
192,21.210804,92.159851,0.06272082685242593,Low
193,21.210443,92.160752,0.05015984299649936,Low
194,21.209349,92.160215,0.1290355691168499,Medium
195,21.207664,92.158601,0.20318126590808372,Medium
196,21.208551,92.158451,0.1952288583674339,Medium
197,21.21403,92.165844,0.10593904930573361,Low
198,21.21345,92.166797,0.14195961314171648,Medium
199,21.211215,92.167656,0.053362385958460185,Low
200,21.209557,92.167062,0.07288333399646556,Low
201,21.210302,92.167902,0.00788050742070825,Low
202,21.209726,92.167083,0.061137569099695824,Low
203,21.208072,92.166334,0.11487094272361957,Low
204,21.209755,92.168029,0.04270630393836975,Low
205,21.209247,92.167944,0.0759212668224918,Low
206,21.209028,92.166768,0.053362385958460185,Low
207,21.207043,92.167713,0.00788050742070825,Low
208,21.205337,92.164426,0.11799368816647739,Low
209,21.206566,92.16458,0.12276102025351722,Medium
